title,price,size,unit,streetAddress,addressLocality,addressRegion,time_update,post_id,direction,listing_type,road_width,property_type,legal_documents,width,length,num_floors,num_bedrooms,has_dining_room,has_kitchen,has_rooftop,has_parking,is_owner
"GIẢM MẠNH 1 tỷ, GÓC 2 MẶT TIỀN MAI HẮC ĐẾ TRUNG TÂM SẦM UẤT NHẤT SƠN TRÀ - RẺNHẤT KHU VỰC","22,5 tỷ",268,m²,Đường Mai Hắc Đế,Phường An Hải,Đà Nẵng,2025-10-20,17361791,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,4m",19m,1,1,,,,yes,
"Bán nhà căn góc trong cư xá Nguyễn Trung Trực, đường 3/2, P.12, Q.10, TPHCM",13 tỷ,224,m²,Đường 3/2,Phường Hòa Hưng,Hồ Chí Minh,2025-10-20,17359706,,Cần bán,3m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,8m",11m,5,8,yes,yes,yes,,
"Hot deal! Ra mắt tòa căn hộ Hue Heritage - TP Huế -Tổng hợp các căn đẹp 2PN, 3PN - Giá CĐT",60 triệu / m²,62,m²,Đường Đống Đa,Phường Thuận Hóa,Huế,2025-10-20,16930761,,Cần bán,,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,,,25,2,yes,yes,yes,yes,
SIÊU HÓT. BÁN CĂN 1PN TẦNG CAO VIEW SÔNG HÀN - PHÁO HOA QUỐC TẾ ĐÀ NẴNG - FULL NỘI THẤT,"2,86 tỷ",46,m²,Đường Lê Văn Duyệt,Phường Sơn Trà,Đà Nẵng,2025-10-20,15052372,,Cần bán,,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,,,30,1,yes,yes,yes,yes,
"Khu đô thị Văn Quán  Dt108 m2, 5 Tâng, Mt6.8m, giá  29.5 tỷ","29,5 tỷ",108,m²,Đường Bạch Thái Bưởi,Phường Hà Đông,Hà Nội,2025-10-20,17529986,Tây Bắc,Cần bán,9m,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,"6,8m",,5,9,,,,,
"Bán lô đất víp DV Vân canh khu 25ha diện tích từ 50-80m, SĐCC giá tốt nhất thị trường",196 triệu,77,m²,Đường An Trai,Xã Sơn Đồng,Hà Nội,2025-10-20,17529950,Đông Bắc,Cần bán,20m,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,5m,16m,,,,,,,
Bán nhanh căn hộ 2PN Liên Chiểu nội thất cao cấp view biển,"2,6 tỷ",63,m²,Đường Ngô Thì Nhậm,Phường Liên Chiểu,Đà Nẵng,2025-10-20,17486937,,Cần bán,,Căn hộ chung cư,,,,25,2,,,,,
"Siêu phẩm trung tâm Quận 1 – MT Hai Bà Trưng, gần chợ Tân Định, giá tốt nhất chỉ 33.9 tỷ","33,9 tỷ",300,m²,Đường Hai Bà Trưng,Phường Tân Định,Hồ Chí Minh,2025-10-20,17308629,,Cần bán,30m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,1m",18m,5,8,,,,,
"Bán gấp nhà Trần Quốc Thảo P.7, Quận 3 – 12x22m, sổ hồng tư nhân,Giá: 36,5 tỷ","36,5 tỷ",175,m²,Đường Trần Quốc Thảo,Phường Xuân Hòa,Hồ Chí Minh,2025-10-20,17313026,,Cần bán,8m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,12m,22m,3,3,,,,,
"CHÍNH CHỦ CẦN BÁN NHÀ MẶT PHỐ TÂY TRÀ  – NHÀ MỚI XÂY, VỊ TRÍ ĐẸP, MẶT HỒ ĐIỀU HÒA",18 tỷ,40,m²,Đường Tây Trà,Phường Lĩnh Nam,Hà Nội,2025-10-20,17371828,,Cần bán,12m,Nhà mặt tiền,Giấy tờ hợp lệ,,,5,4,yes,yes,yes,,yes
BÁN NHÀ MẶT TIỀN NGAY TRUNG TÂM QUẬN 1 – LÝ TỰ TRỌNG - DT: 76M2 - GIÁ 78TỶ,78 tỷ,76,m²,Đường Lý Tự Trọng,Phường Bến Thành,Hồ Chí Minh,2025-10-20,17333957,,Cần bán,20m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,20m,2,5,,,,yes,yes
bán nhà trần đường trần hưng đạo giá rẻ hơn thị trường mặt tiền sông hàn ngay trung tâm,"26,5 tỷ",214,m²,Đường Trần Hưng Đạo,Phường An Hải,Đà Nẵng,2025-10-20,17334264,Đông,Cần bán,15m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,12m,"17,5m",5,20,,,,,
SIÊU PHẨM! Nhà mặt phố Châu Thị Vĩnh Tế - kề Đỗ Bá - 125m2 - Dòng Tiền 20 Tr/ th - 21 tỷ x,"21,9 tỷ",125,m²,Đường Châu Thị Vĩnh Tế,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-20,17375498,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,1,2,yes,yes,,yes,
"CẦN BÁN ĐẤT MẶT TIỀN ĐẸP - KHU PHỐ 10, THỊ TRẤN DƯƠNG ĐÔNG, PHÚ QUỐC",76 tỷ,1.397,m²,Đường Dương Đông - Cừa Cạn,Đặc khu Phú Quốc,An Giang,2025-10-20,16781180,,Cần bán,30m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,27m,49m,,,,,,,
Bán đất kiệt Bạch đằng giá ~100m2 Tp Huế ngay gần chợ Đông Ba an cư quá tuyệt vời 💥,"1,25 tỷ",78,m²,Đường Bạch Đằng,Phường Phú Xuân,Huế,2025-10-20,16268540,,Cần bán,4m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,4m,"19,5m",,,,,,,
Bán đất mặt tiền Dương Đông Cửa Cạn Phú Quốc,78 tỷ,1.149,m²,Đường Dương Đông - Cừa Cạn,Đặc khu Phú Quốc,An Giang,2025-10-20,17529118,,Cần bán,30m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,15m,76m,,,,,,,
"Bán nhà mặt tiền 17-17Bis Yersin, Phường Cầu Ông Lãnh, Quận 1 DT 10x16m 3 tầng 98 tỷ",98 tỷ,157,m²,Đường Yersin,Phường Cầu Ông Lãnh,Hồ Chí Minh,2025-10-20,17515384,,Cần bán,25m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,16m,3,5,yes,yes,yes,yes,
"CHÍNH CHỦ GỬI BÁN NHÀ TĐC THANH AM - DẠNG VŨ HỶ 10 TỶ 500TR , DT 53 M , 6 TẦNG THANG MÁ","10,5 tỷ",53,m²,Đường Thanh Am,Phường Việt Hưng,Hà Nội,2025-10-20,17528852,,Cần bán,3m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,13m,6,6,yes,yes,yes,yes,
"SIÊU KIỆT TÁC NGỌC THỤY- KHU TRUNG TÂM 65M , 5 TẦNG THANG MÁY - FULL NỘI THẤT 5*****","15,8 tỷ",65,m²,Đường Ngọc Thụy,Phường Bồ Đề,Hà Nội,2025-10-20,17337124,,Cần bán,3m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,5,4,yes,yes,yes,yes,
NHÀ SIÊU ĐẸP KIỆT Ô TÔ TÔN ĐẢN,"3,95 tỷ",80,m²,Đường Tôn Đản,Phường An Khê,Đà Nẵng,2025-10-19,17528296,,Cần bán,3m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,12m,,3,4,,,,,
KHÔNG MUA Ở ĐÂY THÌ MUA Ở ĐÂU - FPT DA NÃNG,"4,9 tỷ",90,m²,,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-19,17528177,,Cần bán,"7,5m","Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,6m,,,,,,,,
