title,price,size,unit,streetAddress,addressLocality,addressRegion,time_update,post_id,direction,listing_type,road_width,property_type,legal_documents,width,length,num_floors,num_bedrooms,has_dining_room,has_kitchen,has_rooftop,has_parking,is_owner
🍀🍀🍀Bán gấp căn nhà NGAY CHỢ BÌNH CHÁNH đang cho thuê 8triệu/th - 630Triệu - 120m2,630 triệu,120,m²,Đường Trịnh Như Khuê,Xã Bình Chánh,Hồ Chí Minh,2025-10-13,17230039,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,19m,1,3,yes,yes,yes,yes,
CỰC HIẾM_NHÀ C4 MẶT PHỐ DOÃN UẨN–VIEW PHÁO HOA 2026–148M² SÁT SÔNG LIỀN BIỂN–TT NAM VIỆT Á,"10,5 tỷ",148,m²,Đường Doãn Uẩn,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17363855,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,30m,1,6,,,,,
"Bán nhà Trường Chinh, 5x16, có 7 phòng trọ, phường 15, Tân Bình, giá 6,8 tỷ","6,8 tỷ",80,m²,Đường Trường Chinh,Phường Tân Sơn,Hồ Chí Minh,2025-10-13,17486637,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,2,7,,,,,
"Bán nhà Phan Huy Ích 14x33, Biệt Thự cổ, chính chủ, Phường 15, Tân Bình, giá 38 tỷ",38 tỷ,462,m²,Đường Phan Huy Ích,Phường Tân Sơn,Hồ Chí Minh,2025-10-13,17487248,,Cần bán,12m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,14m,33m,3,3,,,,,
Kẹt tiền nên chú Hai cần bán gấp 2 căn nhà đang cho thuê kinh doanh BÁN SỮA và HỦ TIẾU,650 triệu,120,m²,Đường Trịnh Như Khuê,Xã Bình Chánh,Hồ Chí Minh,2025-10-13,17451076,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,20m,2,3,yes,yes,,,
"Nhà Mặt Ngõ Định Công Thượng Định Công Hoàng Mai 55m 14tỷ 5Tầng Mt4,5m Oto Đỗ Cửa",14 tỷ,55,m²,Đường Định Công Thượng,Phường Định Công,Hà Nội,2025-10-13,17463289,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",,5,6,yes,yes,yes,yes,
"LIỀN KỀ KĐT MỚI ĐẠI KIM HOÀNG MAI 72M 25,5 TỶ 5TẦNG MT6,3M OTO TRÁNH ĐỖ KINH DOANH ĐỈNH","25,5 tỷ",72,m²,Đường Kim Giang,Phường Hoàng Liệt,Hà Nội,2025-10-13,16708804,,Cần bán,16m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,3m",,5,6,yes,yes,yes,yes,
Mặt Phố Trần Nguyên Đán Định Công Hoàng Mai 60m 28.5Tỷ 4Tầng Mt5m Oto Tránh Kinh Doanh,"28,5 tỷ",60,m²,Đường Trần Nguyên Đán,Phường Định Công,Hà Nội,2025-10-13,16043155,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,4,5,yes,yes,yes,yes,
SỤP HẦM-BÁN SIÊU PHẨM-MẶT TIỀN NGUYỄN KHUYẾN – KINH DOANH ĐỈNH – 160M² – GIÁ CHỈ 9.5 TỶ,"9,5 tỷ",160,m²,Đường Nguyễn Khuyến,Phường Hòa Khánh,Đà Nẵng,2025-10-13,17483446,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",,1,5,yes,yes,,yes,
"ĐẤT NỀN NGAY CHỢ BÀU BÀNG, CHÍNH CHỦ GIÁ TỐT NHẤT THỊ TRƯỜNG, NGUỒN KÍN","1,55 tỷ",150,m²,Đường Đại Lộ Bình Dương,Xã Bàu Bàng,Hồ Chí Minh,2025-10-13,17460341,,Cần bán,8m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,30m,,,,,,,
"ĐẤT NỀN NGANG 10M, DÀI 30M, NGAY SÁT KHU CHỢ, MẶT TIỀN CHO THUÊ 15TR/THÁNG","3,5 tỷ",300,m²,Đường Quốc Lộ 13,Xã Bàu Bàng,Hồ Chí Minh,2025-10-13,17467738,,Cần bán,16m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,10m,30m,,,,,,,
Nhà Hẻm Oto-Rẻ Nhất- 4 Tầng- 5x10m - 3 Phòng Ngủ Master-6 tỷ 150,"6,15 tỷ",50,m²,Đường Huỳnh Tấn Phát,Xã Nhà Bè,Hồ Chí Minh,2025-10-13,17423594,,Cần bán,6m,Nhà trong hẻm,,5m,10m,4,3,yes,yes,yes,yes,
🔥 SIÊU HIẾM! NHÀ 2 MẶT TIỀN XÔ VIẾT NGHỆ TĨNH – HẢI CHÂU – MÓNG 5 TẦNG – GIÁ CHỈ 30 TỶ 🔥,30 tỷ,158,m²,Đường Xô Viết Nghệ Tĩnh,Phường Hòa Cường,Đà Nẵng,2025-10-13,17373264,,Cần bán,"10,m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",,2,4,,,,,
💥 Shophouse Trung Nguyên Đẹp Nhất Dự Án chỉ 01 căn Duy Nhất,"7,8 tỷ",125,m²,Đường Nguyễn Đình Chiểu,Phường Buôn Ma Thuột,Đắk Lắk,2025-10-13,16379341,,Cần bán,23m,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,5m,30m,4,4,yes,yes,yes,yes,
Bán toà nhà 3tầng mặt tiền đường trung tâm Đà Nẵng,"10,3 tỷ",112,m²,Đường Mai Lão Bạng,Phường Hải Châu,Đà Nẵng,2025-10-13,17482927,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,1m",12m,3,3,yes,yes,yes,yes,
Bán toà căn hộ cao tầng 8 tầng 2 mặt tiền đường VIP sơn trà Đà Nẵng,36 tỷ,136,m²,Đường Lê Phụng Hiểu,Phường An Hải,Đà Nẵng,2025-10-13,17487281,,Cần bán,7m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,20m,8,18,yes,yes,yes,yes,
Bán căn nhà 2tầng sát Bãi biến mỹ khê Đà Nẵng,"4,95 tỷ",83,m²,Đường Nguyễn Phan Vinh,Phường Sơn Trà,Đà Nẵng,2025-10-13,17487029,,Cần bán,3m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,",6m",15m,2,4,yes,yes,yes,yes,
Bán toà nhà 5tầng VIP phố Tây An thượng Đà Nẵng,36 tỷ,140,m²,Đường Châu Thị Vĩnh Tế,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17473702,Đông Nam,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,25m,10m,5,10,yes,yes,yes,yes,
BÌNH TÂN _CHÍNH CHỦ GỬI BÁN MẶT TIỀN TÂY LÂN TÒA 100 CHDV - TN 500TR/THÁNG - GIÁ 88 TỶ,88 tỷ,1.140,m²,Đường Tây Lân,Phường Bình Tân,Hồ Chí Minh,2025-10-13,17487808,,Cần bán,20m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,25m,45m,6,100,yes,yes,yes,yes,
SIÊU HOT NHÀ MẶT TIỀN TIÊN SƠN 18 - 90M2 - 4 TẦNG 4 MÊ - GẦN CHỢ ĐẦU MỐI -NHÀ MỚI-9.5 TỶ,"9,5 tỷ",90,m²,Đường Tiên Sơn 18,Phường Hòa Cường,Đà Nẵng,2025-10-13,17352467,,Cần bán,6m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,4,4,yes,yes,yes,yes,
"NHÀ MẶT TIỀN HOÀNG ĐẠO THUÝ – 110M² - 3 TẦNG 3 MÊ - NHÀ MỚI, TẶNG NỘI THẤT – GIÁ 7.9 TỶ","7,9 tỷ",108,m²,Đường Hoàng Đạo Thúy,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17355698,,Cần bán,6m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,3,5,,,,,
NHÀ  NGUYỄN TRI PHƯƠNG – 90M² – LÔ GÓC 2 MẶT KIỆT – GẦN CHỢ TÂN LẬP – 5.85 TỶ,"5,85 tỷ",90,m²,Đường Nguyễn Tri Phương,Phường Thanh Khê,Đà Nẵng,2025-10-13,16789835,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,,3,3,,,,,
💥XÓT ĐÚNG CĂN MẶT TIỀN HÒA CƯỜNG–4 TẦNG KIÊN CỐ MỚI CỨNG–90M²–Ở NGAY–GIÁ NHỈNH 9 TỶ🍀🌹🍀,"9,5 tỷ",90,m²,Đường Tiên Sơn 18,Phường Hòa Cường,Đà Nẵng,2025-10-13,17487639,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,4,3,,,,,
NHÀ 3 TẦNG ĐẸP KIỆT 5M TÔN ĐỨC THẮNG - XE ĐẬU 24/24 - SÁT ĐẠI HỌC SƯ PHẠM- NHỈNH 4 TỶ,"4,8 tỷ",60,m²,Đường Tôn Đức Thắng,Phường Hòa Khánh,Đà Nẵng,2025-10-13,17469205,Đông Nam,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,,3,3,yes,yes,yes,yes,
"Góc 3 Mặt Tiền Nguyễn Hữu Thọ, Nhà Bè. DT: 20m x 71m, CN: 1.430m2, 2T - HĐT 428tr - 99 tỷ",99 tỷ,1.430,m²,Đường Nguyễn Hữu Thọ,Xã Nhà Bè,Hồ Chí Minh,2025-10-13,17483044,,Cần bán,40m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,20m,71m,2,2,,,,,
Bình Tân! Khu Tên Lửa. Bán tòa 80 CHDV | HĐT khoán: 220tr/tháng ~ 6%/năm | Giá: 45 tỷ,45 tỷ,300,m²,Đường Số 44,Phường Tân Tạo,Hồ Chí Minh,2025-10-13,17322490,,Cần bán,16m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,20m,5,80,yes,yes,yes,yes,
"🌟 ĐỘC QUYỀN SIÊU PHẨM NHÀ 5 TẦNG 1 TUM MỚI XÂY – KHU CÁN BỘ, CÔNG NHÂN VIÊN KHỐI ĐẢNG","10,5 tỷ",100,m²,Đường Cẩm Nam 9,Phường Hòa Xuân,Đà Nẵng,2025-10-13,17486825,Nam,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,6,20,yes,yes,yes,yes,
SIÊU PHẨM NHÀ 3 TẦNG – MẶT TIỀN MAI LÃO BẠNG,"10,3 tỷ",113,m²,Đường Mai Lão Bạng,Phường Hải Châu,Đà Nẵng,2025-10-13,17481640,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,1m",,3,3,yes,yes,yes,yes,
ĐỘC QUYỀN BÁN NHÀ 3 TẦNG MẶT TIỀN HOÀNG DƯ KHƯƠNG – 118M² – NHÀ KIÊN CỐ – GIÁ TỐT NHẤT KHU,"8,5 tỷ",118,m²,Đường Hoàng Dư Khương,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17487532,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,3,6,yes,yes,yes,yes,
"💥GÓC 2 MẶT TIỀN KHUÊ TRUNG - ĐƯỜNG 7.5M GẦN ĐH NGOẠI NGỮ, KIẾN TRÚC, ĐÔNG Á, CHỢ ĐẦU MỐI","14,2 tỷ",190,m²,Đường Lê Ngân,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17480453,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,1,5,,,,,
💥MT TRẦN KHÁNH DƯ – LÕI PHỐ TÂY AN THƯỢNG – 80M2 NGANG 5.7M – VÀI BƯỚC RA BIỂN MỸ KHÊ 🍀,"13,5 tỷ",80,m²,Đường Trần Khánh Dư,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17485054,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,,,,,,,
"💥NHÀ 3 TẦNG MT ĐƯỜNG 10.5M–GẦN MONARCHY, EURO VILLA–VIEW PHÁO HOA–96M²-NHỈNH 14 TỶ🍀🌹🍀","14,5 tỷ",96,m²,Đường Trần Quang Diệu,Phường An Hải,Đà Nẵng,2025-10-13,17377336,,Cần bán,11m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,3,4,,,,,
❌️SIÊU PHẨM CẦU GIẤY -MẶT CHỢ-KINH DOANH-OTO TRÁNH.,16 tỷ,45,m²,Đường Lạc Long Quân,Phường Nghĩa Đô,Hà Nội,2025-10-13,17481485,,Cần bán,8m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,5,3,yes,yes,yes,yes,
"GÓC KINH DOANH NHÀ HÀNG, 2MT 174m2 NGAY ĐƯỜNG TRẦN HƯNG ĐẠO ĐỐI DIỆN BẾN DU THUYỀN",42 tỷ,174,m²,Đường Trần Hưng Đạo,Phường Sơn Trà,Đà Nẵng,2025-10-13,17448399,Tây Nam,Cần bán,35m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,18m,3,8,,,,,
TRUNG TÂM PHỐ BIỂN MỸ KHÊ – NGUYỄN VĂN THOẠI – SÁT CHÂU THỊ VĨNH TẾ - ~180M2 – XÂY CĂN HỘ,"9,5 tỷ",180,m²,Đường Nguyễn Văn Thoại,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17486520,,Cần bán,4m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,,2,3,yes,yes,yes,yes,
SIÊU PHẨM - BÁN LÔ ĐẤT MẶT TIỀN ĐƯỜNG 15M TRẦN ĐĂNG NINH – 112M2 – HIẾM CÒN –LIỀN SÔNG HÀN,15 tỷ,112,m²,Đường Trần Đăng Ninh,Phường Hòa Cường,Đà Nẵng,2025-10-13,17487471,,Cần bán,15m,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,"4,5m",,,,,,,,
"CỰC HIẾM! BÁN LÔ ĐÔI HOÀ CƯỜNG, HẢI CHÂU – 180M2, NGANG 10M, APARTMENT&HOTEL – NHỈNH 15TỶ","15,3 tỷ",180,m²,Đường Tố Hữu,Phường Hòa Cường,Đà Nẵng,2025-10-13,17487468,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,,1,4,,,,yes,
ngộp ngân hàng bán nhanh lô đất ngay chợ đêm 5x30 giá ngân hàng 590tr,590 triệu,150,m²,Đường D5-5A,Xã Bàu Bàng,Hồ Chí Minh,2025-10-13,17460226,,Cần bán,16m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,30m,,,,,,,
"Cô bán căn nhà Tân Kiên , Bình Chánh , đang cho thuê 8tr/tháng",920 triệu,116,m²,Đường Hưng Nhơn,Xã Tân Nhựt,Hồ Chí Minh,2025-10-13,17446043,,Cần bán,6m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,23m,1,3,,,,,
"BÁN GẤP LÔ ĐẤT 150M2, ĐƯỜNG 6m - FULL THỔ CƯ GIÁ 1,55 TỈ GẦN ỦY BAN,BỆNH VIỆN P.CHÁNH HIỆP","1,55 tỷ",150,m²,Đường Hồ Văn Cống,Phường Chánh Hiệp,Hồ Chí Minh,2025-10-13,17438253,,Cần bán,6m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,5m,30m,,,,,,,
BÁN BIỆT THỰ LỰC LƯỠNG GÓC 2MẶT TIỀN ĐƯỜNG HẢI CHÂU – 3 TẦNG ĐẸP LUNG LINH – NHỈNH 12 TỶ,"12,7 tỷ",100,m²,Đường Lương Nhữ Hộc,Phường Hòa Cường,Đà Nẵng,2025-10-13,17487111,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,5m",,3,4,yes,yes,yes,yes,
🏡CHÍNH CHỦ BÁN SIÊU PHẨM NHÀ PHỐ – KDC PHONG PHÚ 4 – DỰ ÁN KHANG ĐIỀN – KHANG PHÚC,"15,8 tỷ",100,m²,,Xã Bình Hưng,Hồ Chí Minh,2025-10-13,17190860,,Cần bán,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,,,,,,,
BÁN NHÀ MẶT PHỐ KINH DOANH HÒA CƯỜNG BẮC HẢI CHÂU ĐÀ NẴNG 83M2 CHỈ 8 TỶ,"8,5 tỷ",83,m²,Đường Hoàng Thúc Trâm,Phường Hòa Cường,Đà Nẵng,2025-10-13,17484692,Đông,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,1,2,,,,,
Hiếm!Bán lô đất cực đẹp đường 10m5 ngay Trường Sky line  Hoà Cường Nam Hải Châu  chỉ 15 tỷ,15 tỷ,112,m²,Đường Trần Đăng Ninh,Phường Hòa Cường,Đà Nẵng,2025-10-13,17481744,,Cần bán,"10,m","Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,"4,5m",25m,,,,,,,
SIÊU PHẨM TOÀ CĂN HỘ CÓ HỒ BƠi  GẦN CẦU RỒNG SẴN BÊN THỨ 3 THUÊ,"16,8 tỷ",130,m²,Đường Phạm Quang Ảnh,Phường Sơn Trà,Đà Nẵng,2025-10-13,17481392,Tây Nam,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,,2m",32m,4,6,yes,yes,yes,yes,
KIM GIANG HOÀNG NHÀ ĐẸP PHONG CÁCH INDOCHINE – THANG MÁY – MẶT NGÕ THÔNG – CÔNG NĂNG ĐỈNH,10 tỷ,56,m²,Đường Kim Giang,Phường Hoàng Liệt,Hà Nội,2025-10-13,17486855,,Cần bán,3m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,6,8,,,,,
8.65 TỶ - 31M2X5T - MT4M - ĐA SỸ - NHÀ ĐẸP Ở NGAY - NGÕ THÔNG - Ô TÔ TRÁNH - KINH DOANH,"8,65 tỷ",31,m²,Đường Đa Sĩ,Phường Kiến Hưng,Hà Nội,2025-10-13,17485649,,Cần bán,3m,Nhà trong hẻm,,4m,"7,7m",5,3,,,,,
"TÌM ĐÂU RA? BÁN NHÀ MẶT PHỐ CAO XUÂN HUY – 75M2, NGANG 4.5M, DÉCOR Ở NGAY – CHỈ NHỈNH 6TỶ","6,5 tỷ",75,m²,Đường Cao Xuân Huy,Phường Hòa Cường,Đà Nẵng,2025-10-13,17486611,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",,2,3,yes,yes,yes,yes,
GIẢM 1 TỶ BÁN NHANH BIỆT THỰ 4 TẦNG ĐẠI LỘ THĂNG LONG 150M2 NHỈNH 27 TỶ,"27,29 tỷ",150,m²,Đại lộ Thăng Long,Phường Hòa Cường,Đà Nẵng,2025-10-13,17486593,,Cần bán,20m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,5m",20m,4,6,yes,yes,yes,yes,
"✅️ Bán Nhà Đường Trần Cao Vân, Tp Đà Nẵng.","2,65 tỷ",50,m²,Đường Trần Cao Vân,Phường Thanh Khê,Đà Nẵng,2025-10-13,17486439,Nam,Cần bán,"2,5m",Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,40m",10m,2,3,yes,yes,yes,,
"HIẾM! MẶT PHỐ NÚI THÀNH CHỈ NHỈNH 10 TỶ TL – 75M2, NỞ HẬU 6M – Ở SƯỚNG, KINH DOANH SỐ 1","10,8 tỷ",75,m²,Đường Núi Thành,Phường Hòa Cường,Đà Nẵng,2025-10-13,17486039,,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,,2,3,yes,yes,yes,yes,
"SỤP! GÓC 2 MẶT TIỀN ĐƯỜNG CẠNH LÀNG ĐẠI HỌC HẢI CHÂU – 190M2, NGANG 21M – NHỈNH XÍU 14 TỶ","14,2 tỷ",190,m²,Đường Xuân Thủy,Phường Cẩm Lệ,Đà Nẵng,2025-10-13,17484550,,Cần bán,"7,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,21m,,1,4,,yes,,yes,
Phú Xuân City – Khu Shophouse Mặt Tiền Trục Chính Đầy Tiềm Năng,"2,4 tỷ",126,m²,Đường Võ Nguyên Giáp,Phường Vỹ Dạ,Huế,2025-10-13,17486190,Nam,Cần bán,19m,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,6m,21m,4,4,yes,yes,,yes,
"Bán nhà MT đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12 DT: 23x55m NH: 31m tầng 2",210 tỷ,1.530,m²,Đường Nguyễn Ảnh Thủ,Phường Trung Mỹ Tây,Hồ Chí Minh,2025-10-13,17486048,,Cần bán,16m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,23m,55m,2,12,yes,yes,,yes,
TÔI CHÍNH CHỦ BÁN NHANH NHÀ MẶT TIỀN NAM THỌ2 115M² – CÁCH BIỂN MÂN THÁI 300M – GIÁ 8.9 TỶ,"8,9 tỷ",115,m²,Đường Nam Thọ 2,Phường Sơn Trà,Đà Nẵng,2025-10-13,17235364,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,,1,2,yes,yes,yes,,
"CẬP NHẬT NHỮNG CĂN MẶT PHỐ & MẶT HỒ TÂY BÁN – TÂY HỒ, HÀ NỘI",305 tỷ,227,m²,Đường Xuân Diệu,Phường Tây Hồ,Hà Nội,2025-10-13,17136222,Tây Nam,Cần bán,30m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,"32,4m",8,30,yes,yes,yes,yes,
"CHÍNH CHỦ BÁN TOÀ NHÀ CCMN TẠI TÂN MAI, HOÀNG MAI, HN","19,35 tỷ",70,m²,Phố Tân Mai,Phường Hoàng Mai,Hà Nội,2025-10-13,17376543,Bắc,Cần bán,3m,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,"3,7m",19m,6,9,yes,yes,yes,yes,
NGỌC KHƯƠNG BRIENZ – VIÊN NGỌC XANH HIẾM CÓ GIỮA LÒNG ĐÀ NẴNG CHỈ TỪ 900 /NỀN,910 triệu,140,m²,Đường Nam Kỳ Khởi Nghĩa,Xã Hòa Tiến,Đà Nẵng,2025-10-13,17439201,,Cần bán,"5,5m","Đất thổ cư, đất ở",,,,,,,,,,
BÁN NHÀ PHỐ KHÚC THỪA DỤ NGÕ OTO KD SẦM UẤT SỔ ĐỎ 50M2* 7 TẦNG THANG MÁY MỚI Ở LUÔN. 19 TỶ,19 tỷ,50,m²,Phố Khúc Thừa Dụ,Phường Cầu Giấy,Hà Nội,2025-10-13,17482459,,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",,7,7,yes,yes,yes,yes,
"Nhà có thu nhập ngay Khu sân bay, Tân Bình. DT: 6.5x26, giá 26.8 tỷ","26,8 tỷ",164,m²,Đường Mai Lão Bạng,Phường Tân Bình,Hồ Chí Minh,2025-10-13,17395700,,Cần bán,8m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,5m",26m,2,12,yes,yes,yes,yes,
Bán lô đất góc 2MT sát Võ Nguyên Giáp . 3 mặt thoáng.DT:270m2. Giá 66 tỷ TL,66 tỷ,300,m²,Đường Hồ Nghinh,Phường An Hải,Đà Nẵng,2025-10-13,17484048,,Cần bán,20m,Nhà mặt tiền,,12m,,,,,,,,
Siêu Phẩm Cách biển 150m ngay trần văn dư ngũ hành sơn cạnh sơn trà đà nẵng,"27,8 tỷ",278,m²,Đường Trần Văn Dư,Phường Ngũ Hành Sơn,Đà Nẵng,2025-10-13,17484287,Đông,Cần bán,5m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,16m,"18,5m",1,1,,,,,
"( SOCK ) Bán nhà Góc 2 MT Hồng Hà,5.3x20m, 3 tầng, giá: 24,5  tỷ,p 2, Tân Bình","24,5 tỷ",120,m²,Đường Hồng Hà,Phường Tân Sơn Hòa,Hồ Chí Minh,2025-10-13,17245743,,Cần bán,20m,Nhà mặt tiền,,"5,3m",20m,3,4,,,,,
"Nhà đất  Bán nhà 3 tầng đẹp trung tâm Hải Châu ,Hoà Cường Nam ,Đà Nẵng,Đường 5m ,Lề 3m ,Gi","6,49 tỷ",65,m²,Đường Bình An,Phường Hòa Cường,Đà Nẵng,2025-10-13,17483770,,Cần bán,"5,5m",Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,13m,3,4,yes,yes,yes,yes,
"Buidling Quận 9, giá T10/2025 giá cực tốt. HDT 90tr/tháng.",52 tỷ,658,m²,Đường Đình Phong Phú,Phường Tăng Nhơn Phú,Hồ Chí Minh,2025-10-13,17426868,Đông Nam,Cần bán,10m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,17m,,3,6,yes,yes,yes,yes,
"Góc 3 Mặt Tiền Ba Tháng Hai, Phường 14, Quận 10. Diện tích 4x25m Gía 34 Tỷ Thương Lượng",34 tỷ,500,m²,Đường 3/2,Phường Diên Hồng,Hồ Chí Minh,2025-10-13,17155804,,Cần bán,20m,Nhà mặt tiền,,,,10,20,,,,,
"Góc 2 mặt tiền Nguyễn Thị Minh Khai Quận 1 Diện tích 12x35m,Hầm 12 Tầng Giá 330 tỷ",330 tỷ,500,m²,Đường Nguyễn Thị Minh Khai,Phường Bến Thành,Hồ Chí Minh,2025-10-13,16979163,,Cần bán,20m,Nhà mặt tiền,,,,10,20,,,,,
"10,8 TỶ - 40m2 - KHU TĐC GIANG BIÊN - VIỆT HƯNG - VỈA HÈ 2 BÊN","10,8 tỷ",40,m²,Phố Phạm Khắc Quảng,Phường Việt Hưng,Hà Nội,2025-10-13,17325363,,Cần bán,14m,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,4m,10m,,,,,,,
"CHÍNH CHỦ - BÁN NHÀ MĂT TIỀN ĐƯỜNG NGUYỄN VĂN LINH NGANG 10m, CHỈ 39 Tỷ Tl",39 tỷ,242,m²,Đường Nguyễn Văn Linh,Phường Thanh Khê,Đà Nẵng,2025-10-13,17482238,,Cần bán,30m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,24m,3,3,,,,,
"Cần bán nhà thiết kế hiện đại Trung tâm Đô thị Chí Linh, Phường Nguyễn An Ninh, Vũng Tàu",11 tỷ,69,m²,,Phường Tam Thắng,Hồ Chí Minh,2025-10-13,17317692,Tây Nam,Cần bán,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,,3,4,yes,yes,,yes,yes
Hàng Góc Đẹp Nhất BDS Đà Nẵng : Nắm Chủ Hết,12 tỷ,110,m²,Đường Dương Thạc,Phường Sơn Trà,Đà Nẵng,2025-10-12,17440956,,Cần bán,"7,5m","Đất thổ cư, đất ở",,"6,5m",,,,,,,,
195 tỷ có góc Phạm Văn Đồng và Hoàng Bích Sơn dòng tiền khủng,195 tỷ,682,m²,Đường Phạm Văn Đồng,Phường An Hải,Đà Nẵng,2025-10-12,17480696,Nam,Cần bán,36m,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,25m,,,,,,,,
"Dương Tự Minh chỉ từ 37,x tỷ Có 180m2 360m2 gọi Huy Phan","37,9 tỷ",180,m²,Đường Dương Tự Minh,Phường An Hải,Đà Nẵng,2025-10-12,17480624,Bắc,Cần bán,10m,"Đất thổ cư, đất ở",,9m,20m,,,,,,,
